State,YEAR,party,vote_share_percentage,District,M.victory
JAMMU & KASHMIR,2014,IND,0.34,kupwara,4.56
JAMMU & KASHMIR,2014,JKPDP,14.49,kupwara,4.56
JAMMU & KASHMIR,2014,BSP,0.72,kupwara,4.56
JAMMU & KASHMIR,2014,IND,0.29,kupwara,4.56
JAMMU & KASHMIR,2014,INC,1.65,kupwara,4.56
JAMMU & KASHMIR,2014,NOTA,1.14,kupwara,4.56
JAMMU & KASHMIR,2014,IND,1.1,kupwara,4.56
JAMMU & KASHMIR,2014,JPC,43.19,kupwara,4.56
JAMMU & KASHMIR,2014,IND,0.44,kupwara,4.56
JAMMU & KASHMIR,2014,JKN,3.21,kupwara,4.56
JAMMU & KASHMIR,2014,INC,1.92,kupwara,4.56
JAMMU & KASHMIR,2014,IND,0.76,kupwara,4.56
JAMMU & KASHMIR,2014,IND,1.23,kupwara,4.56
JAMMU & KASHMIR,2014,JKNPP,0.41,kupwara,4.56
JAMMU & KASHMIR,2014,NOTA,1.04,kupwara,4.56
JAMMU & KASHMIR,2014,IND,3.55,kupwara,4.56
JAMMU & KASHMIR,2014,BJP,1.02,kupwara,4.56
JAMMU & KASHMIR,2014,IND,35.49,kupwara,4.56
JAMMU & KASHMIR,2014,IND,1.19,kupwara,4.56
JAMMU & KASHMIR,2014,JPC,19.56,kupwara,4.56
JAMMU & KASHMIR,2014,JKPDP,30.6,kupwara,4.56
JAMMU & KASHMIR,2014,BJP,2.04,baramulla,3.34
JAMMU & KASHMIR,2014,INC,26.73,baramulla,3.34
JAMMU & KASHMIR,2014,JKN,39.25,baramulla,3.34
JAMMU & KASHMIR,2014,NOTA,1.17,baramulla,3.34
JAMMU & KASHMIR,2014,JKPDP,29.92,baramulla,3.34
JAMMU & KASHMIR,2014,AJKMP,0.88,baramulla,3.34
JAMMU & KASHMIR,2014,JPC,5.55,baramulla,3.34
JAMMU & KASHMIR,2014,NOTA,1,baramulla,3.34
JAMMU & KASHMIR,2014,IND,0.51,baramulla,3.34
JAMMU & KASHMIR,2014,INC,28.1,baramulla,3.34
JAMMU & KASHMIR,2014,JKNPP,0.87,baramulla,3.34
JAMMU & KASHMIR,2014,IND,0.4,baramulla,3.34
JAMMU & KASHMIR,2014,IND,0.52,baramulla,3.34
JAMMU & KASHMIR,2014,IND,0.57,baramulla,3.34
JAMMU & KASHMIR,2014,JKPDP,32.31,baramulla,3.34
JAMMU & KASHMIR,2014,IND,1.4,baramulla,3.34
JAMMU & KASHMIR,2014,BJP,1.14,baramulla,3.34
JAMMU & KASHMIR,2014,JKN,27.01,baramulla,3.34
JAMMU & KASHMIR,2014,IND,0.6,baramulla,3.34
JAMMU & KASHMIR,2014,IND,0.38,baramulla,3.34
JAMMU & KASHMIR,2014,NOTA,1.04,baramulla,3.34
JAMMU & KASHMIR,2014,IND,3.2,baramulla,3.34
JAMMU & KASHMIR,2014,IND,1.6,baramulla,3.34
JAMMU & KASHMIR,2014,IND,0.56,baramulla,3.34
JAMMU & KASHMIR,2014,IND,4.36,baramulla,3.34
JAMMU & KASHMIR,2014,IND,0.57,baramulla,3.34
JAMMU & KASHMIR,2014,IND,16.66,baramulla,3.34
JAMMU & KASHMIR,2014,JKNPP,0.64,baramulla,3.34
JAMMU & KASHMIR,2014,INC,26.38,baramulla,3.34
JAMMU & KASHMIR,2014,IND,1.71,baramulla,3.34
JAMMU & KASHMIR,2014,IND,3.7,baramulla,3.34
JAMMU & KASHMIR,2014,IND,3.78,baramulla,3.34
JAMMU & KASHMIR,2014,JKN,12.77,baramulla,3.34
JAMMU & KASHMIR,2014,JPC,4.9,baramulla,3.34
JAMMU & KASHMIR,2014,JKPDP,17.76,baramulla,3.34
JAMMU & KASHMIR,2014,NOTA,0.48,bandipora,1.03
JAMMU & KASHMIR,2014,INC,47.26,bandipora,1.03
JAMMU & KASHMIR,2014,JKPDP,3.25,bandipora,1.03
JAMMU & KASHMIR,2014,IND,0.72,bandipora,1.03
JAMMU & KASHMIR,2014,JKN,48.29,bandipora,1.03
JAMMU & KASHMIR,2014,JKPDP,32.06,bandipora,1.03
JAMMU & KASHMIR,2014,NOTA,2.47,bandipora,1.03
JAMMU & KASHMIR,2014,BJP,0.85,bandipora,1.03
JAMMU & KASHMIR,2014,IND,1.2,bandipora,1.03
JAMMU & KASHMIR,2014,BSP,1.23,bandipora,1.03
JAMMU & KASHMIR,2014,INC,37.69,bandipora,1.03
JAMMU & KASHMIR,2014,IND,1.69,bandipora,1.03
JAMMU & KASHMIR,2014,AIFB,0.74,bandipora,1.03
JAMMU & KASHMIR,2014,IND,1.71,bandipora,1.03
JAMMU & KASHMIR,2014,JKN,10.15,bandipora,1.03
JAMMU & KASHMIR,2014,JPC,2.37,bandipora,1.03
JAMMU & KASHMIR,2014,AJKMP,0.51,bandipora,1.03
JAMMU & KASHMIR,2014,IND,1.04,bandipora,1.03
JAMMU & KASHMIR,2014,IND,6.31,bandipora,1.03
JAMMU & KASHMIR,2014,IND,0.59,bandipora,1.03
JAMMU & KASHMIR,2014,IND,0.66,bandipora,1.03
JAMMU & KASHMIR,2014,JKNPP,0.39,bandipora,1.03
JAMMU & KASHMIR,2014,JKPDP,40.02,bandipora,1.03
JAMMU & KASHMIR,2014,NOTA,1.34,bandipora,1.03
JAMMU & KASHMIR,2014,INC,15.01,bandipora,1.03
JAMMU & KASHMIR,2014,JKN,40.53,bandipora,1.03
JAMMU & KASHMIR,2014,JPC,1.46,bandipora,1.03
JAMMU & KASHMIR,2014,JPC,2.21,baramulla,3.34
JAMMU & KASHMIR,2014,INC,26.84,baramulla,3.34
JAMMU & KASHMIR,2014,JKPDP,31.37,baramulla,3.34
JAMMU & KASHMIR,2014,JKN,17.29,baramulla,3.34
JAMMU & KASHMIR,2014,AJKMP,0.4,baramulla,3.34
JAMMU & KASHMIR,2014,IND,9.89,baramulla,3.34
JAMMU & KASHMIR,2014,IND,5.09,baramulla,3.34
JAMMU & KASHMIR,2014,NOTA,1.18,baramulla,3.34
JAMMU & KASHMIR,2014,IND,2.06,baramulla,3.34
JAMMU & KASHMIR,2014,JKNPP,2.2,baramulla,3.34
JAMMU & KASHMIR,2014,IND,1.48,baramulla,3.34
JAMMU & KASHMIR,2014,IND,0.63,baramulla,3.34
JAMMU & KASHMIR,2014,JKN,22.46,baramulla,3.34
JAMMU & KASHMIR,2014,JPC,3.53,baramulla,3.34
JAMMU & KASHMIR,2014,AJKMP,0.27,baramulla,3.34
JAMMU & KASHMIR,2014,INC,20.65,baramulla,3.34
JAMMU & KASHMIR,2014,IND,1.16,baramulla,3.34
JAMMU & KASHMIR,2014,IND,1.73,baramulla,3.34
JAMMU & KASHMIR,2014,JKPDP,43.75,baramulla,3.34
JAMMU & KASHMIR,2014,NOTA,2.3,baramulla,3.34
JAMMU & KASHMIR,2014,JKNPP,0.53,baramulla,3.34
JAMMU & KASHMIR,2014,IND,0.41,baramulla,3.34
JAMMU & KASHMIR,2014,IND,2.58,baramulla,3.34
JAMMU & KASHMIR,2014,IND,16.32,baramulla,3.34
JAMMU & KASHMIR,2014,JKN,13.66,baramulla,3.34
JAMMU & KASHMIR,2014,JKNPP,0.58,baramulla,3.34
JAMMU & KASHMIR,2014,AJKMP,0.95,baramulla,3.34
JAMMU & KASHMIR,2014,JKDPN,29.67,baramulla,3.34
JAMMU & KASHMIR,2014,JKPDP,33.81,baramulla,3.34
JAMMU & KASHMIR,2014,NOTA,1.35,baramulla,3.34
JAMMU & KASHMIR,2014,IND,0.81,baramulla,3.34
JAMMU & KASHMIR,2014,IND,2.86,baramulla,3.34
JAMMU & KASHMIR,2014,IND,0.46,baramulla,3.34
JAMMU & KASHMIR,2014,INC,12.62,baramulla,3.34
JAMMU & KASHMIR,2014,BSP,0.92,baramulla,3.34
JAMMU & KASHMIR,2014,IND,2.98,baramulla,3.34
JAMMU & KASHMIR,2014,JKDPN,8.89,baramulla,3.34
JAMMU & KASHMIR,2014,NOTA,1.08,baramulla,3.34
JAMMU & KASHMIR,2014,IND,4.7,baramulla,3.34
JAMMU & KASHMIR,2014,IND,4.34,baramulla,3.34
JAMMU & KASHMIR,2014,AJKMP,0.27,baramulla,3.34
JAMMU & KASHMIR,2014,IND,0.41,baramulla,3.34
JAMMU & KASHMIR,2014,JKPDP,40.41,baramulla,3.34
JAMMU & KASHMIR,2014,JKN,22.63,baramulla,3.34
JAMMU & KASHMIR,2014,IND,0.29,baramulla,3.34
JAMMU & KASHMIR,2014,AJKMP,0.25,ganderbal,2.62
JAMMU & KASHMIR,2014,IND,1.11,ganderbal,2.62
JAMMU & KASHMIR,2014,JKNPP,0.88,ganderbal,2.62
JAMMU & KASHMIR,2014,IND,1.26,ganderbal,2.62
JAMMU & KASHMIR,2014,JPC,0.68,ganderbal,2.62
JAMMU & KASHMIR,2014,JKPDP,44.5,ganderbal,2.62
JAMMU & KASHMIR,2014,INC,1.62,ganderbal,2.62
JAMMU & KASHMIR,2014,BJP,1.06,ganderbal,2.62
JAMMU & KASHMIR,2014,BSP,0.18,ganderbal,2.62
JAMMU & KASHMIR,2014,JKN,47.12,ganderbal,2.62
JAMMU & KASHMIR,2014,NOTA,1.33,ganderbal,2.62
JAMMU & KASHMIR,2014,IND,0.91,ganderbal,2.62
JAMMU & KASHMIR,2014,IND,0.43,ganderbal,2.62
JAMMU & KASHMIR,2014,IND,1.97,ganderbal,2.62
JAMMU & KASHMIR,2014,NOTA,1.49,ganderbal,2.62
JAMMU & KASHMIR,2014,IND,11.22,ganderbal,2.62
JAMMU & KASHMIR,2014,JPC,0.6,ganderbal,2.62
JAMMU & KASHMIR,2014,JKPDP,35.27,ganderbal,2.62
JAMMU & KASHMIR,2014,INC,5.96,ganderbal,2.62
JAMMU & KASHMIR,2014,JKNPP,0.43,ganderbal,2.62
JAMMU & KASHMIR,2014,BJP,1.25,ganderbal,2.62
JAMMU & KASHMIR,2014,IND,0.54,ganderbal,2.62
JAMMU & KASHMIR,2014,IND,1.23,ganderbal,2.62
JAMMU & KASHMIR,2014,JKN,36.38,ganderbal,2.62
JAMMU & KASHMIR,2014,IND,2.31,ganderbal,2.62
JAMMU & KASHMIR,2014,IND,0.43,srinagar,5.81
JAMMU & KASHMIR,2014,IND,1.18,srinagar,5.81
JAMMU & KASHMIR,2014,JKNPP,0.61,srinagar,5.81
JAMMU & KASHMIR,2014,JKPDP,44.87,srinagar,5.81
JAMMU & KASHMIR,2014,INC,3.12,srinagar,5.81
JAMMU & KASHMIR,2014,ABHM,0.46,srinagar,5.81
JAMMU & KASHMIR,2014,BJP,8.93,srinagar,5.81
JAMMU & KASHMIR,2014,NOTA,1.43,srinagar,5.81
JAMMU & KASHMIR,2014,IND,3.69,srinagar,5.81
JAMMU & KASHMIR,2014,AJKMP,0.25,srinagar,5.81
JAMMU & KASHMIR,2014,JKN,33.34,srinagar,5.81
JAMMU & KASHMIR,2014,RAJPA,0.92,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.77,srinagar,5.81
JAMMU & KASHMIR,2014,RAJPA,0.51,srinagar,5.81
JAMMU & KASHMIR,2014,IND,2.54,srinagar,5.81
JAMMU & KASHMIR,2014,JKN,26.35,srinagar,5.81
JAMMU & KASHMIR,2014,IND,1.31,srinagar,5.81
JAMMU & KASHMIR,2014,BJP,1.96,srinagar,5.81
JAMMU & KASHMIR,2014,IND,1.31,srinagar,5.81
JAMMU & KASHMIR,2014,JPC,3.42,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.46,srinagar,5.81
JAMMU & KASHMIR,2014,INC,5.01,srinagar,5.81
JAMMU & KASHMIR,2014,IND,7.22,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.72,srinagar,5.81
JAMMU & KASHMIR,2014,JKPDP,42.66,srinagar,5.81
JAMMU & KASHMIR,2014,NOTA,0.75,srinagar,5.81
JAMMU & KASHMIR,2014,IND,5.78,srinagar,5.81
JAMMU & KASHMIR,2014,INC,7.79,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.59,srinagar,5.81
JAMMU & KASHMIR,2014,JKPDP,37.66,srinagar,5.81
JAMMU & KASHMIR,2014,IND,7.57,srinagar,5.81
JAMMU & KASHMIR,2014,JPC,2.35,srinagar,5.81
JAMMU & KASHMIR,2014,NOTA,1.08,srinagar,5.81
JAMMU & KASHMIR,2014,IND,1.3,srinagar,5.81
JAMMU & KASHMIR,2014,JKN,41.38,srinagar,5.81
JAMMU & KASHMIR,2014,AJKMP,0.27,srinagar,5.81
JAMMU & KASHMIR,2014,INC,1.06,srinagar,5.81
JAMMU & KASHMIR,2014,IND,4.14,srinagar,5.81
JAMMU & KASHMIR,2014,NOTA,0.76,srinagar,5.81
JAMMU & KASHMIR,2014,JKPDP,40.01,srinagar,5.81
JAMMU & KASHMIR,2014,IND,1.15,srinagar,5.81
JAMMU & KASHMIR,2014,JKN,48.76,srinagar,5.81
JAMMU & KASHMIR,2014,BJP,4.12,srinagar,5.81
JAMMU & KASHMIR,2014,IND,1.81,srinagar,5.81
JAMMU & KASHMIR,2014,IND,2.23,srinagar,5.81
JAMMU & KASHMIR,2014,JKPDP,8.49,srinagar,5.81
JAMMU & KASHMIR,2014,JKN,42.4,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.41,srinagar,5.81
JAMMU & KASHMIR,2014,BJP,22.21,srinagar,5.81
JAMMU & KASHMIR,2014,INC,8.33,srinagar,5.81
JAMMU & KASHMIR,2014,LJP,7.1,srinagar,5.81
JAMMU & KASHMIR,2014,IND,1.35,srinagar,5.81
JAMMU & KASHMIR,2014,NOTA,1.01,srinagar,5.81
JAMMU & KASHMIR,2014,NCP,0.31,srinagar,5.81
JAMMU & KASHMIR,2014,IND,4.35,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.67,srinagar,5.81
JAMMU & KASHMIR,2014,NOTA,0.97,srinagar,5.81
JAMMU & KASHMIR,2014,JKNPP,0.37,srinagar,5.81
JAMMU & KASHMIR,2014,JKPDP,54.57,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.87,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.87,srinagar,5.81
JAMMU & KASHMIR,2014,JKN,29.71,srinagar,5.81
JAMMU & KASHMIR,2014,INC,1.48,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.75,srinagar,5.81
JAMMU & KASHMIR,2014,IND,2.22,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.25,srinagar,5.81
JAMMU & KASHMIR,2014,BJP,6.32,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.26,srinagar,5.81
JAMMU & KASHMIR,2014,JPC,0.56,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.12,srinagar,5.81
JAMMU & KASHMIR,2014,BJP,3.23,srinagar,5.81
JAMMU & KASHMIR,2014,JKPDP,41.88,srinagar,5.81
JAMMU & KASHMIR,2014,JKNPP,0.47,srinagar,5.81
JAMMU & KASHMIR,2014,NOTA,0.89,srinagar,5.81
JAMMU & KASHMIR,2014,IND,1.34,srinagar,5.81
JAMMU & KASHMIR,2014,JKN,27.85,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.52,srinagar,5.81
JAMMU & KASHMIR,2014,AJKMP,0.17,srinagar,5.81
JAMMU & KASHMIR,2014,JPC,5.85,srinagar,5.81
JAMMU & KASHMIR,2014,IND,12.88,srinagar,5.81
JAMMU & KASHMIR,2014,INC,2.37,srinagar,5.81
JAMMU & KASHMIR,2014,AIFB,0.41,srinagar,5.81
JAMMU & KASHMIR,2014,RPI(A),0.26,srinagar,5.81
JAMMU & KASHMIR,2014,RAJPA,1.2,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.66,srinagar,5.81
JAMMU & KASHMIR,2014,BSP,0.86,srinagar,5.81
JAMMU & KASHMIR,2014,JKN,27.88,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.56,srinagar,5.81
JAMMU & KASHMIR,2014,INC,4.09,srinagar,5.81
JAMMU & KASHMIR,2014,IND,4.75,srinagar,5.81
JAMMU & KASHMIR,2014,JKPDP,42.56,srinagar,5.81
JAMMU & KASHMIR,2014,JKPPS,0.64,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.45,srinagar,5.81
JAMMU & KASHMIR,2014,JKNPP,0.39,srinagar,5.81
JAMMU & KASHMIR,2014,JKDPN,4.78,srinagar,5.81
JAMMU & KASHMIR,2014,SP,1.55,srinagar,5.81
JAMMU & KASHMIR,2014,BJP,4.43,srinagar,5.81
JAMMU & KASHMIR,2014,IND,2.59,srinagar,5.81
JAMMU & KASHMIR,2014,AJKMP,0.27,srinagar,5.81
JAMMU & KASHMIR,2014,NOTA,0.29,srinagar,5.81
JAMMU & KASHMIR,2014,IND,0.71,srinagar,5.81
JAMMU & KASHMIR,2014,JPC,3.2,srinagar,5.81
JAMMU & KASHMIR,2014,IND,1.25,budgam,2.59
JAMMU & KASHMIR,2014,INC,0.72,budgam,2.59
JAMMU & KASHMIR,2014,JKNPP,0.64,budgam,2.59
JAMMU & KASHMIR,2014,JKN,45.09,budgam,2.59
JAMMU & KASHMIR,2014,NCP,0.7,budgam,2.59
JAMMU & KASHMIR,2014,JKPDP,48.26,budgam,2.59
JAMMU & KASHMIR,2014,IND,2.36,budgam,2.59
JAMMU & KASHMIR,2014,NOTA,0.98,budgam,2.59
JAMMU & KASHMIR,2014,IND,1.27,budgam,2.59
JAMMU & KASHMIR,2014,JKPDF,9.29,budgam,2.59
JAMMU & KASHMIR,2014,JKN,43.76,budgam,2.59
JAMMU & KASHMIR,2014,BJP,1.28,budgam,2.59
JAMMU & KASHMIR,2014,JKPDP,39.71,budgam,2.59
JAMMU & KASHMIR,2014,JPC,3.41,budgam,2.59
JAMMU & KASHMIR,2014,INC,0.76,budgam,2.59
JAMMU & KASHMIR,2014,NOTA,0.53,budgam,2.59
JAMMU & KASHMIR,2014,JKPDP,25.3,budgam,2.59
JAMMU & KASHMIR,2014,JKN,34.18,budgam,2.59
JAMMU & KASHMIR,2014,IND,0.52,budgam,2.59
JAMMU & KASHMIR,2014,JPC,4.47,budgam,2.59
JAMMU & KASHMIR,2014,BJP,1.65,budgam,2.59
JAMMU & KASHMIR,2014,NOTA,1.02,budgam,2.59
JAMMU & KASHMIR,2014,INC,32.86,budgam,2.59
JAMMU & KASHMIR,2014,IND,0.45,budgam,2.59
JAMMU & KASHMIR,2014,JKN,22.05,budgam,2.59
JAMMU & KASHMIR,2014,JKPDF,38.16,budgam,2.59
JAMMU & KASHMIR,2014,NOTA,0.84,budgam,2.59
JAMMU & KASHMIR,2014,JKPDP,36.58,budgam,2.59
JAMMU & KASHMIR,2014,IND,1,budgam,2.59
JAMMU & KASHMIR,2014,INC,0.93,budgam,2.59
JAMMU & KASHMIR,2014,IND,0.9,budgam,2.59
JAMMU & KASHMIR,2014,JPC,1.13,budgam,2.59
JAMMU & KASHMIR,2014,INC,1.43,budgam,2.59
JAMMU & KASHMIR,2014,NOTA,0.56,budgam,2.59
JAMMU & KASHMIR,2014,BJP,1.31,budgam,2.59
JAMMU & KASHMIR,2014,AJKMP,0.42,budgam,2.59
JAMMU & KASHMIR,2014,JKN,42.85,budgam,2.59
JAMMU & KASHMIR,2014,JKPDP,50.85,budgam,2.59
JAMMU & KASHMIR,2014,IND,0.56,budgam,2.59
JAMMU & KASHMIR,2014,IND,6.9,pulwama,5.82
JAMMU & KASHMIR,2014,JKNPP,0.9,pulwama,5.82
JAMMU & KASHMIR,2014,JKN,25.8,pulwama,5.82
JAMMU & KASHMIR,2014,BJP,9.15,pulwama,5.82
JAMMU & KASHMIR,2014,JKPDP,38.56,pulwama,5.82
JAMMU & KASHMIR,2014,NOTA,2.23,pulwama,5.82
JAMMU & KASHMIR,2014,IND,5.12,pulwama,5.82
JAMMU & KASHMIR,2014,INC,11.33,pulwama,5.82
JAMMU & KASHMIR,2014,BJP,5.52,pulwama,5.82
JAMMU & KASHMIR,2014,NOTA,1.71,pulwama,5.82
JAMMU & KASHMIR,2014,IND,1.48,pulwama,5.82
JAMMU & KASHMIR,2014,JKN,34.82,pulwama,5.82
JAMMU & KASHMIR,2014,INC,11.1,pulwama,5.82
JAMMU & KASHMIR,2014,JKPDP,44.38,pulwama,5.82
JAMMU & KASHMIR,2014,IND,1,pulwama,5.82
JAMMU & KASHMIR,2014,JKPDP,38.55,pulwama,5.82
JAMMU & KASHMIR,2014,INC,5.16,pulwama,5.82
JAMMU & KASHMIR,2014,JKPDF,6.13,pulwama,5.82
JAMMU & KASHMIR,2014,BJP,2.23,pulwama,5.82
JAMMU & KASHMIR,2014,IND,2.22,pulwama,5.82
JAMMU & KASHMIR,2014,IND,0.86,pulwama,5.82
JAMMU & KASHMIR,2014,JPC,2.19,pulwama,5.82
JAMMU & KASHMIR,2014,IND,5.83,pulwama,5.82
JAMMU & KASHMIR,2014,IND,0.73,pulwama,5.82
JAMMU & KASHMIR,2014,JKN,35.13,pulwama,5.82
JAMMU & KASHMIR,2014,NOTA,0.96,pulwama,5.82
JAMMU & KASHMIR,2014,JKN,28.23,pulwama,5.82
JAMMU & KASHMIR,2014,JKPDP,36.95,pulwama,5.82
JAMMU & KASHMIR,2014,INC,3.92,pulwama,5.82
JAMMU & KASHMIR,2014,NOTA,1.71,pulwama,5.82
JAMMU & KASHMIR,2014,IND,1.13,pulwama,5.82
JAMMU & KASHMIR,2014,RPI(A),1.17,pulwama,5.82
JAMMU & KASHMIR,2014,IND,13.22,pulwama,5.82
JAMMU & KASHMIR,2014,IND,3.19,pulwama,5.82
JAMMU & KASHMIR,2014,IND,10.48,pulwama,5.82
JAMMU & KASHMIR,2014,NOTA,1.7,shopian,4.91
JAMMU & KASHMIR,2014,CPM,7.56,shopian,4.91
JAMMU & KASHMIR,2014,BJP,2.85,shopian,4.91
JAMMU & KASHMIR,2014,AKAKRP,0.97,shopian,4.91
JAMMU & KASHMIR,2014,IND,1.29,shopian,4.91
JAMMU & KASHMIR,2014,JKNPP,0.45,shopian,4.91
JAMMU & KASHMIR,2014,JPC,1.5,shopian,4.91
JAMMU & KASHMIR,2014,IND,1.15,shopian,4.91
JAMMU & KASHMIR,2014,INC,2.5,shopian,4.91
JAMMU & KASHMIR,2014,JKN,37.56,shopian,4.91
JAMMU & KASHMIR,2014,JKPDP,42.47,shopian,4.91
JAMMU & KASHMIR,2014,JKN,12.66,shopian,4.91
JAMMU & KASHMIR,2014,INC,6.33,shopian,4.91
JAMMU & KASHMIR,2014,IND,28.52,shopian,4.91
JAMMU & KASHMIR,2014,NOTA,1.96,shopian,4.91
JAMMU & KASHMIR,2014,IND,2.14,shopian,4.91
JAMMU & KASHMIR,2014,AKAKRP,1.55,shopian,4.91
JAMMU & KASHMIR,2014,JKPDP,34.2,shopian,4.91
JAMMU & KASHMIR,2014,JKNPP,1.2,shopian,4.91
JAMMU & KASHMIR,2014,IND,1.28,shopian,4.91
JAMMU & KASHMIR,2014,BJP,8.11,shopian,4.91
JAMMU & KASHMIR,2014,CPI,2.04,shopian,4.91
JAMMU & KASHMIR,2014,JKPDP,48.36,kulgam,6.25
JAMMU & KASHMIR,2014,INC,2.38,kulgam,6.25
JAMMU & KASHMIR,2014,IND,0.27,kulgam,6.25
JAMMU & KASHMIR,2014,IND,0.44,kulgam,6.25
JAMMU & KASHMIR,2014,IND,0.2,kulgam,6.25
JAMMU & KASHMIR,2014,IND,0.25,kulgam,6.25
JAMMU & KASHMIR,2014,IND,0.18,kulgam,6.25
JAMMU & KASHMIR,2014,JKN,42.11,kulgam,6.25
JAMMU & KASHMIR,2014,JKNPP,0.57,kulgam,6.25
JAMMU & KASHMIR,2014,IND,0.52,kulgam,6.25
JAMMU & KASHMIR,2014,IND,0.16,kulgam,6.25
JAMMU & KASHMIR,2014,NOTA,1.26,kulgam,6.25
JAMMU & KASHMIR,2014,IND,1.22,kulgam,6.25
JAMMU & KASHMIR,2014,BJP,1.09,kulgam,6.25
JAMMU & KASHMIR,2014,BSP,0.8,kulgam,6.25
JAMMU & KASHMIR,2014,IND,0.19,kulgam,6.25
JAMMU & KASHMIR,2014,IND,0.66,kulgam,6.25
JAMMU & KASHMIR,2014,IND,0.91,kulgam,6.25
JAMMU & KASHMIR,2014,BSP,0.23,kulgam,6.25
JAMMU & KASHMIR,2014,NOTA,1.27,kulgam,6.25
JAMMU & KASHMIR,2014,INC,0.98,kulgam,6.25
JAMMU & KASHMIR,2014,CPM,38.69,kulgam,6.25
JAMMU & KASHMIR,2014,JKN,15.56,kulgam,6.25
JAMMU & KASHMIR,2014,BJP,3.66,kulgam,6.25
JAMMU & KASHMIR,2014,JKPDP,38.06,kulgam,6.25
JAMMU & KASHMIR,2014,BJP,5.35,kulgam,6.25
JAMMU & KASHMIR,2014,BSP,0.86,kulgam,6.25
JAMMU & KASHMIR,2014,JKN,40,kulgam,6.25
JAMMU & KASHMIR,2014,JKNPP,0.49,kulgam,6.25
JAMMU & KASHMIR,2014,IND,2.46,kulgam,6.25
JAMMU & KASHMIR,2014,SP,1.07,kulgam,6.25
JAMMU & KASHMIR,2014,JKPDP,35.55,kulgam,6.25
JAMMU & KASHMIR,2014,INC,13.4,kulgam,6.25
JAMMU & KASHMIR,2014,NOTA,0.82,kulgam,6.25
JAMMU & KASHMIR,2016,JPDP,63.01,anantnag,43.02
JAMMU & KASHMIR,2014,AKAKRP,1.2,anantnag,2.41
