"YEAR","State","District","ANNUAL.RAINFALL_MM"
2005,"CHHATTISGARH","BILASPUR",1475.7
2006,"CHHATTISGARH","BILASPUR",1091.7
2007,"CHHATTISGARH","BILASPUR",1269.4
2008,"CHHATTISGARH","BILASPUR",1047
2009,"CHHATTISGARH","BILASPUR",791.4
2010,"CHHATTISGARH","BILASPUR",973.9
2011,"CHHATTISGARH","BILASPUR",1290.1
2012,"CHHATTISGARH","BILASPUR",1350.1
2013,"CHHATTISGARH","BILASPUR",1449.5
2014,"CHHATTISGARH","BILASPUR",1348.2
2015,"CHHATTISGARH","BILASPUR",1056.8
2002,"CHHATTISGARH","RAIGARH",-1
2004,"CHHATTISGARH","RAIGARH",1049.8
2005,"CHHATTISGARH","RAIGARH",1246.8
2006,"CHHATTISGARH","RAIGARH",1089.1
2007,"CHHATTISGARH","RAIGARH",1291.8
2008,"CHHATTISGARH","RAIGARH",1513.9
2009,"CHHATTISGARH","RAIGARH",978.2
2010,"CHHATTISGARH","RAIGARH",988.3
2011,"CHHATTISGARH","RAIGARH",1288.5
2012,"CHHATTISGARH","RAIGARH",1237.3
2013,"CHHATTISGARH","RAIGARH",1221.3
2014,"CHHATTISGARH","RAIGARH",1227.8
2015,"CHHATTISGARH","RAIGARH",1192.1
2002,"CHHATTISGARH","SURGUJA",-1
2004,"CHHATTISGARH","SURGUJA",971.6
2005,"CHHATTISGARH","SURGUJA",1120.1
2006,"CHHATTISGARH","SURGUJA",1186.3
2007,"CHHATTISGARH","SURGUJA",1153.4
2008,"CHHATTISGARH","SURGUJA",1119.6
2009,"CHHATTISGARH","SURGUJA",564.1
2010,"CHHATTISGARH","SURGUJA",596.7
2011,"CHHATTISGARH","SURGUJA",1383.6
2012,"CHHATTISGARH","SURGUJA",1122.5
2013,"CHHATTISGARH","SURGUJA",809
2014,"CHHATTISGARH","SURGUJA",840
2015,"CHHATTISGARH","SURGUJA",989.8
2000,"MADHYA PRADESH","JABALPUR",955.2
2001,"MADHYA PRADESH","JABALPUR",1149.8
2002,"MADHYA PRADESH","JABALPUR",1110.7
2003,"MADHYA PRADESH","JABALPUR",1664.5
2004,"MADHYA PRADESH","JABALPUR",1208.7
2005,"MADHYA PRADESH","JABALPUR",1806.2
2006,"MADHYA PRADESH","JABALPUR",999.1
2007,"MADHYA PRADESH","JABALPUR",1033.4
2008,"MADHYA PRADESH","JABALPUR",1201.1
2009,"MADHYA PRADESH","JABALPUR",1008.1
2012,"MADHYA PRADESH","JABALPUR",1283.7
2013,"MADHYA PRADESH","JABALPUR",2109.7
2014,"MADHYA PRADESH","JABALPUR",968.8
2015,"MADHYA PRADESH","JABALPUR",1043.9
2000,"MADHYA PRADESH","BALAGHAT",1007.1
2001,"MADHYA PRADESH","BALAGHAT",1702.8
2002,"MADHYA PRADESH","BALAGHAT",1317.8
2003,"MADHYA PRADESH","BALAGHAT",1931.9
2004,"MADHYA PRADESH","BALAGHAT",991.3
2005,"MADHYA PRADESH","BALAGHAT",1937.9
2006,"MADHYA PRADESH","BALAGHAT",1549.1
2007,"MADHYA PRADESH","BALAGHAT",1257.1
2008,"MADHYA PRADESH","BALAGHAT",1325.4
2009,"MADHYA PRADESH","BALAGHAT",1010.6
2012,"MADHYA PRADESH","BALAGHAT",1173.6
2013,"MADHYA PRADESH","BALAGHAT",1428.8
2014,"MADHYA PRADESH","BALAGHAT",1076
2015,"MADHYA PRADESH","BALAGHAT",1004.7
2000,"MADHYA PRADESH","CHHINDWARA",696.8
2001,"MADHYA PRADESH","CHHINDWARA",816.9
2002,"MADHYA PRADESH","CHHINDWARA",930.9
2003,"MADHYA PRADESH","CHHINDWARA",1150.4
2004,"MADHYA PRADESH","CHHINDWARA",574.5
2005,"MADHYA PRADESH","CHHINDWARA",1212
2006,"MADHYA PRADESH","CHHINDWARA",1093.5
2007,"MADHYA PRADESH","CHHINDWARA",927.5
2008,"MADHYA PRADESH","CHHINDWARA",668
2009,"MADHYA PRADESH","CHHINDWARA",1162.3
2012,"MADHYA PRADESH","CHHINDWARA",1078.7
2013,"MADHYA PRADESH","CHHINDWARA",1408
2014,"MADHYA PRADESH","CHHINDWARA",807
2015,"MADHYA PRADESH","CHHINDWARA",1133.3
2000,"MADHYA PRADESH","NARSINGHPUR",823
2001,"MADHYA PRADESH","NARSINGHPUR",1138.3
2002,"MADHYA PRADESH","NARSINGHPUR",963.4
2003,"MADHYA PRADESH","NARSINGHPUR",1128.7
2004,"MADHYA PRADESH","NARSINGHPUR",1156.4
2005,"MADHYA PRADESH","NARSINGHPUR",1585.6
2006,"MADHYA PRADESH","NARSINGHPUR",1084.4
2007,"MADHYA PRADESH","NARSINGHPUR",899.8
2008,"MADHYA PRADESH","NARSINGHPUR",947.4
2009,"MADHYA PRADESH","NARSINGHPUR",1163
2012,"MADHYA PRADESH","NARSINGHPUR",1039.5
2013,"MADHYA PRADESH","NARSINGHPUR",1821
2014,"MADHYA PRADESH","NARSINGHPUR",915.2
2015,"MADHYA PRADESH","NARSINGHPUR",1006.1
2000,"MADHYA PRADESH","SEONI / SHIVANI",756.4
2001,"MADHYA PRADESH","SEONI / SHIVANI",931.3
2002,"MADHYA PRADESH","SEONI / SHIVANI",1187.5
2003,"MADHYA PRADESH","SEONI / SHIVANI",1383.2
2004,"MADHYA PRADESH","SEONI / SHIVANI",753.8
2005,"MADHYA PRADESH","SEONI / SHIVANI",1449.1
2006,"MADHYA PRADESH","SEONI / SHIVANI",1322.5
2007,"MADHYA PRADESH","SEONI / SHIVANI",966.7
2008,"MADHYA PRADESH","SEONI / SHIVANI",942.9
2009,"MADHYA PRADESH","SEONI / SHIVANI",889.1
2012,"MADHYA PRADESH","SEONI / SHIVANI",1118.5
2013,"MADHYA PRADESH","SEONI / SHIVANI",1734.7
2014,"MADHYA PRADESH","SEONI / SHIVANI",880.3
2015,"MADHYA PRADESH","SEONI / SHIVANI",1013.7
2000,"MADHYA PRADESH","MANDLA",839.9
2001,"MADHYA PRADESH","MANDLA",1402.3
2002,"MADHYA PRADESH","MANDLA",990.8
2003,"MADHYA PRADESH","MANDLA",1489.5
2004,"MADHYA PRADESH","MANDLA",1164.1
2005,"MADHYA PRADESH","MANDLA",1477.5
2006,"MADHYA PRADESH","MANDLA",1139.7
2007,"MADHYA PRADESH","MANDLA",1173.9
2008,"MADHYA PRADESH","MANDLA",1503.5
2009,"MADHYA PRADESH","MANDLA",836.9
2012,"MADHYA PRADESH","MANDLA",1387.9
2013,"MADHYA PRADESH","MANDLA",1828.1
2014,"MADHYA PRADESH","MANDLA",1229.1
2015,"MADHYA PRADESH","MANDLA",1195.8
2000,"MADHYA PRADESH","SAGAR",943.2
2001,"MADHYA PRADESH","SAGAR",1049.2
2002,"MADHYA PRADESH","SAGAR",862.2
2003,"MADHYA PRADESH","SAGAR",1708.5
2004,"MADHYA PRADESH","SAGAR",1070.7
2005,"MADHYA PRADESH","SAGAR",1644.6
2006,"MADHYA PRADESH","SAGAR",1040.1
2007,"MADHYA PRADESH","SAGAR",746.5
2008,"MADHYA PRADESH","SAGAR",1026.3
2009,"MADHYA PRADESH","SAGAR",975.5
2012,"MADHYA PRADESH","SAGAR",912.3
2013,"MADHYA PRADESH","SAGAR",1934.5
2014,"MADHYA PRADESH","SAGAR",865.5
2015,"MADHYA PRADESH","SAGAR",765.7
2000,"MADHYA PRADESH","DAMOH",911.8
2001,"MADHYA PRADESH","DAMOH",1042.3
2002,"MADHYA PRADESH","DAMOH",918.7
2003,"MADHYA PRADESH","DAMOH",1488.2
2004,"MADHYA PRADESH","DAMOH",1048.7
2005,"MADHYA PRADESH","DAMOH",1666.8
2006,"MADHYA PRADESH","DAMOH",806
2007,"MADHYA PRADESH","DAMOH",888.9
2008,"MADHYA PRADESH","DAMOH",1259.4
2009,"MADHYA PRADESH","DAMOH",683.3
2012,"MADHYA PRADESH","DAMOH",1097.6
2013,"MADHYA PRADESH","DAMOH",1793.8
2014,"MADHYA PRADESH","DAMOH",824.4
2015,"MADHYA PRADESH","DAMOH",971.4
2000,"MADHYA PRADESH","TIKAMGARH",751.9
2001,"MADHYA PRADESH","TIKAMGARH",961
2002,"MADHYA PRADESH","TIKAMGARH",775.2
2003,"MADHYA PRADESH","TIKAMGARH",1077.7
2004,"MADHYA PRADESH","TIKAMGARH",567.3
2005,"MADHYA PRADESH","TIKAMGARH",713.4
2006,"MADHYA PRADESH","TIKAMGARH",593.7
2007,"MADHYA PRADESH","TIKAMGARH",388
2008,"MADHYA PRADESH","TIKAMGARH",1316.5
2009,"MADHYA PRADESH","TIKAMGARH",735.9
2012,"MADHYA PRADESH","TIKAMGARH",817.8
2013,"MADHYA PRADESH","TIKAMGARH",1314.8
2014,"MADHYA PRADESH","TIKAMGARH",868.4
2015,"MADHYA PRADESH","TIKAMGARH",685
2000,"MADHYA PRADESH","CHHATARPUR",812.6
2001,"MADHYA PRADESH","CHHATARPUR",1023.1
2002,"MADHYA PRADESH","CHHATARPUR",817.5
2003,"MADHYA PRADESH","CHHATARPUR",1499.1
2004,"MADHYA PRADESH","CHHATARPUR",940.7
2005,"MADHYA PRADESH","CHHATARPUR",1006.6
2006,"MADHYA PRADESH","CHHATARPUR",648.9
2007,"MADHYA PRADESH","CHHATARPUR",575.2
2008,"MADHYA PRADESH","CHHATARPUR",938.3
2009,"MADHYA PRADESH","CHHATARPUR",741.8
2012,"MADHYA PRADESH","CHHATARPUR",835.6
2013,"MADHYA PRADESH","CHHATARPUR",1502.4
2014,"MADHYA PRADESH","CHHATARPUR",746.2
2015,"MADHYA PRADESH","CHHATARPUR",799.1
2000,"MADHYA PRADESH","PANNA",815.2
2001,"MADHYA PRADESH","PANNA",1265.2
2002,"MADHYA PRADESH","PANNA",1047.9
2003,"MADHYA PRADESH","PANNA",1936.6
2004,"MADHYA PRADESH","PANNA",1284.6
2005,"MADHYA PRADESH","PANNA",1494.4
2006,"MADHYA PRADESH","PANNA",606.5
2007,"MADHYA PRADESH","PANNA",405.7
2008,"MADHYA PRADESH","PANNA",584.8
2009,"MADHYA PRADESH","PANNA",761.2
2012,"MADHYA PRADESH","PANNA",1094.7
2013,"MADHYA PRADESH","PANNA",1621.9
2014,"MADHYA PRADESH","PANNA",709
2015,"MADHYA PRADESH","PANNA",777.3
2000,"MADHYA PRADESH","REWA",864.3
2001,"MADHYA PRADESH","REWA",1285.9
2002,"MADHYA PRADESH","REWA",942.6
2003,"MADHYA PRADESH","REWA",1245.9
2004,"MADHYA PRADESH","REWA",999.3
2005,"MADHYA PRADESH","REWA",964.8
2006,"MADHYA PRADESH","REWA",698
2007,"MADHYA PRADESH","REWA",864.2
2008,"MADHYA PRADESH","REWA",842.9
2009,"MADHYA PRADESH","REWA",618.8
2012,"MADHYA PRADESH","REWA",1224.2
2013,"MADHYA PRADESH","REWA",1479.2
2014,"MADHYA PRADESH","REWA",957.9
2015,"MADHYA PRADESH","REWA",803.1
2000,"MADHYA PRADESH","SIDHI",1239.7
2001,"MADHYA PRADESH","SIDHI",1267.5
2002,"MADHYA PRADESH","SIDHI",883.1
2003,"MADHYA PRADESH","SIDHI",1372.8
2004,"MADHYA PRADESH","SIDHI",759.4
2005,"MADHYA PRADESH","SIDHI",785.8
2006,"MADHYA PRADESH","SIDHI",1202
2007,"MADHYA PRADESH","SIDHI",775.5
2008,"MADHYA PRADESH","SIDHI",785.4
2009,"MADHYA PRADESH","SIDHI",634.7
2012,"MADHYA PRADESH","SIDHI",1487.4
2013,"MADHYA PRADESH","SIDHI",1327.3
2014,"MADHYA PRADESH","SIDHI",1242.7
2015,"MADHYA PRADESH","SIDHI",806
2000,"MADHYA PRADESH","SATNA",812.3
2001,"MADHYA PRADESH","SATNA",1250.7
2002,"MADHYA PRADESH","SATNA",1085.4
2003,"MADHYA PRADESH","SATNA",1574.2
2004,"MADHYA PRADESH","SATNA",1078.4
2005,"MADHYA PRADESH","SATNA",1471.6
2006,"MADHYA PRADESH","SATNA",779.9
2007,"MADHYA PRADESH","SATNA",741.4
2008,"MADHYA PRADESH","SATNA",754
2009,"MADHYA PRADESH","SATNA",830.9
2012,"MADHYA PRADESH","SATNA",959.6
2013,"MADHYA PRADESH","SATNA",1351.2
2014,"MADHYA PRADESH","SATNA",808.9
2015,"MADHYA PRADESH","SATNA",1081.4
2000,"MADHYA PRADESH","SHAHDOL",942.4
2001,"MADHYA PRADESH","SHAHDOL",1243.1
2002,"MADHYA PRADESH","SHAHDOL",893.1
2003,"MADHYA PRADESH","SHAHDOL",1637.6
2004,"MADHYA PRADESH","SHAHDOL",731.4
2005,"MADHYA PRADESH","SHAHDOL",1485
2006,"MADHYA PRADESH","SHAHDOL",1065.2
2007,"MADHYA PRADESH","SHAHDOL",1050.1
2008,"MADHYA PRADESH","SHAHDOL",945.2
2009,"MADHYA PRADESH","SHAHDOL",640.7
2012,"MADHYA PRADESH","SHAHDOL",982.9
2013,"MADHYA PRADESH","SHAHDOL",1055.3
2014,"MADHYA PRADESH","SHAHDOL",990.1
2015,"MADHYA PRADESH","SHAHDOL",787.7
2000,"MADHYA PRADESH","GWALIOR",490
2001,"MADHYA PRADESH","GWALIOR",935.4
2002,"MADHYA PRADESH","GWALIOR",543.9
2003,"MADHYA PRADESH","GWALIOR",769
2004,"MADHYA PRADESH","GWALIOR",735.6
2005,"MADHYA PRADESH","GWALIOR",718.3
2006,"MADHYA PRADESH","GWALIOR",545.1
2007,"MADHYA PRADESH","GWALIOR",540.5
2008,"MADHYA PRADESH","GWALIOR",768.8
2009,"MADHYA PRADESH","GWALIOR",479.7
2012,"MADHYA PRADESH","GWALIOR",850.7
2013,"MADHYA PRADESH","GWALIOR",1027.4
2014,"MADHYA PRADESH","GWALIOR",712.4
2015,"MADHYA PRADESH","GWALIOR",861.3
2000,"MADHYA PRADESH","SHIVPURI",743.1
2001,"MADHYA PRADESH","SHIVPURI",893.8
2002,"MADHYA PRADESH","SHIVPURI",439.4
2003,"MADHYA PRADESH","SHIVPURI",884.5
2004,"MADHYA PRADESH","SHIVPURI",692.2
2005,"MADHYA PRADESH","SHIVPURI",741.3
2006,"MADHYA PRADESH","SHIVPURI",580.7
2007,"MADHYA PRADESH","SHIVPURI",525
2008,"MADHYA PRADESH","SHIVPURI",795.5
2009,"MADHYA PRADESH","SHIVPURI",731.1
2012,"MADHYA PRADESH","SHIVPURI",949.7
2013,"MADHYA PRADESH","SHIVPURI",1331.7
2014,"MADHYA PRADESH","SHIVPURI",817.2
2015,"MADHYA PRADESH","SHIVPURI",769.4
2000,"MADHYA PRADESH","GUNA",985.9
2001,"MADHYA PRADESH","GUNA",979.8
2002,"MADHYA PRADESH","GUNA",563
2003,"MADHYA PRADESH","GUNA",923.6
2004,"MADHYA PRADESH","GUNA",791.9
2005,"MADHYA PRADESH","GUNA",911.1
2006,"MADHYA PRADESH","GUNA",993.9
2007,"MADHYA PRADESH","GUNA",765.8
2008,"MADHYA PRADESH","GUNA",980.6
2009,"MADHYA PRADESH","GUNA",616.6
2012,"MADHYA PRADESH","GUNA",759.5
2013,"MADHYA PRADESH","GUNA",1678.5
2014,"MADHYA PRADESH","GUNA",927.4
2015,"MADHYA PRADESH","GUNA",1201.7
2000,"MADHYA PRADESH","DATIA",652.4
2001,"MADHYA PRADESH","DATIA",971.2
2002,"MADHYA PRADESH","DATIA",592
2003,"MADHYA PRADESH","DATIA",1076.7
2004,"MADHYA PRADESH","DATIA",567.7
2005,"MADHYA PRADESH","DATIA",483.2
2006,"MADHYA PRADESH","DATIA",436
2007,"MADHYA PRADESH","DATIA",568.4
2008,"MADHYA PRADESH","DATIA",1044
2009,"MADHYA PRADESH","DATIA",642.1
2012,"MADHYA PRADESH","DATIA",904.5
2013,"MADHYA PRADESH","DATIA",1166
2014,"MADHYA PRADESH","DATIA",724.3
2015,"MADHYA PRADESH","DATIA",679.6
2000,"MADHYA PRADESH","MORENA",377.1
2001,"MADHYA PRADESH","MORENA",660.4
2002,"MADHYA PRADESH","MORENA",419.3
2003,"MADHYA PRADESH","MORENA",644.9
2004,"MADHYA PRADESH","MORENA",547.6
2005,"MADHYA PRADESH","MORENA",687.3
2006,"MADHYA PRADESH","MORENA",389.2
2007,"MADHYA PRADESH","MORENA",431.4
2008,"MADHYA PRADESH","MORENA",777.7
2009,"MADHYA PRADESH","MORENA",634.4
2012,"MADHYA PRADESH","MORENA",838.9
2013,"MADHYA PRADESH","MORENA",1054.5
2014,"MADHYA PRADESH","MORENA",493.5
2015,"MADHYA PRADESH","MORENA",567.9
2000,"MADHYA PRADESH","BHIND",461.1
2001,"MADHYA PRADESH","BHIND",831.1
2002,"MADHYA PRADESH","BHIND",462.6
2003,"MADHYA PRADESH","BHIND",771.5
2004,"MADHYA PRADESH","BHIND",485.7
2005,"MADHYA PRADESH","BHIND",452.7
2006,"MADHYA PRADESH","BHIND",401.9
2007,"MADHYA PRADESH","BHIND",478.6
2008,"MADHYA PRADESH","BHIND",973.5
2009,"MADHYA PRADESH","BHIND",508.1
2012,"MADHYA PRADESH","BHIND",730.1
2013,"MADHYA PRADESH","BHIND",1103
2014,"MADHYA PRADESH","BHIND",510.6
2015,"MADHYA PRADESH","BHIND",545
2000,"MADHYA PRADESH","INDORE",621.9
2001,"MADHYA PRADESH","INDORE",716.1
2002,"MADHYA PRADESH","INDORE",688
2003,"MADHYA PRADESH","INDORE",1115.2
2004,"MADHYA PRADESH","INDORE",766.6
2005,"MADHYA PRADESH","INDORE",723.1
2006,"MADHYA PRADESH","INDORE",1234.2
2007,"MADHYA PRADESH","INDORE",960.5
2008,"MADHYA PRADESH","INDORE",670.6
2009,"MADHYA PRADESH","INDORE",832.2
2012,"MADHYA PRADESH","INDORE",1016
2013,"MADHYA PRADESH","INDORE",1619.1
2014,"MADHYA PRADESH","INDORE",811.2
2015,"MADHYA PRADESH","INDORE",1329.4
2000,"MADHYA PRADESH","RATLAM",453.3
2001,"MADHYA PRADESH","RATLAM",556
2002,"MADHYA PRADESH","RATLAM",533.4
2003,"MADHYA PRADESH","RATLAM",973.1
2004,"MADHYA PRADESH","RATLAM",878.8
2005,"MADHYA PRADESH","RATLAM",774.8
2006,"MADHYA PRADESH","RATLAM",1634.3
2007,"MADHYA PRADESH","RATLAM",1228.9
2008,"MADHYA PRADESH","RATLAM",652.1
2009,"MADHYA PRADESH","RATLAM",728.2
2012,"MADHYA PRADESH","RATLAM",1018.4
2013,"MADHYA PRADESH","RATLAM",1353
2014,"MADHYA PRADESH","RATLAM",614.3
2015,"MADHYA PRADESH","RATLAM",1236.2
2000,"MADHYA PRADESH","UJJAIN",478.9
2001,"MADHYA PRADESH","UJJAIN",609.4
2002,"MADHYA PRADESH","UJJAIN",680.8
2003,"MADHYA PRADESH","UJJAIN",929.4
2004,"MADHYA PRADESH","UJJAIN",898.8
2005,"MADHYA PRADESH","UJJAIN",669.4
2006,"MADHYA PRADESH","UJJAIN",1768.4
2007,"MADHYA PRADESH","UJJAIN",1125.2
2008,"MADHYA PRADESH","UJJAIN",639.6
2009,"MADHYA PRADESH","UJJAIN",737.4
2012,"MADHYA PRADESH","UJJAIN",994.8
2013,"MADHYA PRADESH","UJJAIN",1272.9
2014,"MADHYA PRADESH","UJJAIN",648.9
2015,"MADHYA PRADESH","UJJAIN",1521.2
2000,"MADHYA PRADESH","MANDSAUR",484.7
2001,"MADHYA PRADESH","MANDSAUR",743.1
2002,"MADHYA PRADESH","MANDSAUR",556.1
2003,"MADHYA PRADESH","MANDSAUR",721.2
2004,"MADHYA PRADESH","MANDSAUR",1090.5
2005,"MADHYA PRADESH","MANDSAUR",744.6
2006,"MADHYA PRADESH","MANDSAUR",1443.3
2007,"MADHYA PRADESH","MANDSAUR",817.7
2008,"MADHYA PRADESH","MANDSAUR",708.2
2009,"MADHYA PRADESH","MANDSAUR",703.7
2012,"MADHYA PRADESH","MANDSAUR",904.4
2013,"MADHYA PRADESH","MANDSAUR",1110.6
2014,"MADHYA PRADESH","MANDSAUR",802.3
2015,"MADHYA PRADESH","MANDSAUR",900.7
2000,"MADHYA PRADESH","DEWAS",513.5
2001,"MADHYA PRADESH","DEWAS",795.2
2002,"MADHYA PRADESH","DEWAS",792.3
2003,"MADHYA PRADESH","DEWAS",1170.6
2004,"MADHYA PRADESH","DEWAS",854.5
2005,"MADHYA PRADESH","DEWAS",609.6
2006,"MADHYA PRADESH","DEWAS",1276.5
2007,"MADHYA PRADESH","DEWAS",1013.3
2008,"MADHYA PRADESH","DEWAS",404.6
2009,"MADHYA PRADESH","DEWAS",759.9
2012,"MADHYA PRADESH","DEWAS",1202.5
2013,"MADHYA PRADESH","DEWAS",1413.3
2014,"MADHYA PRADESH","DEWAS",684.9
2015,"MADHYA PRADESH","DEWAS",1257.9
2000,"MADHYA PRADESH","DHAR",460.7
2001,"MADHYA PRADESH","DHAR",547.5
2002,"MADHYA PRADESH","DHAR",651.2
2003,"MADHYA PRADESH","DHAR",928.6
2004,"MADHYA PRADESH","DHAR",721.3
2005,"MADHYA PRADESH","DHAR",559.9
2006,"MADHYA PRADESH","DHAR",1083.4
2007,"MADHYA PRADESH","DHAR",1161
2008,"MADHYA PRADESH","DHAR",687.3
2009,"MADHYA PRADESH","DHAR",663.7
2012,"MADHYA PRADESH","DHAR",759.4
2013,"MADHYA PRADESH","DHAR",1296.7
2014,"MADHYA PRADESH","DHAR",736.2
2015,"MADHYA PRADESH","DHAR",1021.6
2000,"MADHYA PRADESH","JHABUA",481.5
2001,"MADHYA PRADESH","JHABUA",520.6
2002,"MADHYA PRADESH","JHABUA",603.7
2003,"MADHYA PRADESH","JHABUA",1068.7
2004,"MADHYA PRADESH","JHABUA",1097.4
2005,"MADHYA PRADESH","JHABUA",659.3
2006,"MADHYA PRADESH","JHABUA",1494.1
2007,"MADHYA PRADESH","JHABUA",1188.6
2008,"MADHYA PRADESH","JHABUA",632.2
2009,"MADHYA PRADESH","JHABUA",603.2
2012,"MADHYA PRADESH","JHABUA",1014
2013,"MADHYA PRADESH","JHABUA",1292.9
2014,"MADHYA PRADESH","JHABUA",793.2
2015,"MADHYA PRADESH","JHABUA",776.1
2000,"MADHYA PRADESH","KHARGONE / WEST NIMAR",537.6
2001,"MADHYA PRADESH","KHARGONE / WEST NIMAR",712
2002,"MADHYA PRADESH","KHARGONE / WEST NIMAR",776.4
2003,"MADHYA PRADESH","KHARGONE / WEST NIMAR",919.7
2004,"MADHYA PRADESH","KHARGONE / WEST NIMAR",759.5
2005,"MADHYA PRADESH","KHARGONE / WEST NIMAR",530.8
2006,"MADHYA PRADESH","KHARGONE / WEST NIMAR",1039.9
2007,"MADHYA PRADESH","KHARGONE / WEST NIMAR",995.5
2008,"MADHYA PRADESH","KHARGONE / WEST NIMAR",472.9
2009,"MADHYA PRADESH","KHARGONE / WEST NIMAR",652.9
2012,"MADHYA PRADESH","KHARGONE / WEST NIMAR",739
2013,"MADHYA PRADESH","KHARGONE / WEST NIMAR",1033
2014,"MADHYA PRADESH","KHARGONE / WEST NIMAR",857.4
2015,"MADHYA PRADESH","KHARGONE / WEST NIMAR",800.7
2000,"MADHYA PRADESH","KHANDWA / EAST NIMAR",539.4
2001,"MADHYA PRADESH","KHANDWA / EAST NIMAR",563.8
2002,"MADHYA PRADESH","KHANDWA / EAST NIMAR",767
2003,"MADHYA PRADESH","KHANDWA / EAST NIMAR",798.6
2004,"MADHYA PRADESH","KHANDWA / EAST NIMAR",751.9
2005,"MADHYA PRADESH","KHANDWA / EAST NIMAR",677.2
2006,"MADHYA PRADESH","KHANDWA / EAST NIMAR",779.9
2007,"MADHYA PRADESH","KHANDWA / EAST NIMAR",1014.9
2008,"MADHYA PRADESH","KHANDWA / EAST NIMAR",683.1
2009,"MADHYA PRADESH","KHANDWA / EAST NIMAR",490.6
2012,"MADHYA PRADESH","KHANDWA / EAST NIMAR",1159.5
2013,"MADHYA PRADESH","KHANDWA / EAST NIMAR",1456.4
2014,"MADHYA PRADESH","KHANDWA / EAST NIMAR",1275.7
2015,"MADHYA PRADESH","KHANDWA / EAST NIMAR",1103.8
2000,"MADHYA PRADESH","SEHORE",591.9
2001,"MADHYA PRADESH","SEHORE",901.6
2002,"MADHYA PRADESH","SEHORE",1063.4
2003,"MADHYA PRADESH","SEHORE",1202.5
2004,"MADHYA PRADESH","SEHORE",1183.9
2005,"MADHYA PRADESH","SEHORE",826.7
2006,"MADHYA PRADESH","SEHORE",1632.8
2007,"MADHYA PRADESH","SEHORE",893
2008,"MADHYA PRADESH","SEHORE",679.5
2009,"MADHYA PRADESH","SEHORE",862.5
2012,"MADHYA PRADESH","SEHORE",1315
2013,"MADHYA PRADESH","SEHORE",1480.8
2014,"MADHYA PRADESH","SEHORE",941.7
2015,"MADHYA PRADESH","SEHORE",1182.5
2000,"MADHYA PRADESH","RAISEN",932
2001,"MADHYA PRADESH","RAISEN",1116.3
2002,"MADHYA PRADESH","RAISEN",970.1
2003,"MADHYA PRADESH","RAISEN",1259.1
2004,"MADHYA PRADESH","RAISEN",916.9
2005,"MADHYA PRADESH","RAISEN",1238
2006,"MADHYA PRADESH","RAISEN",1142.9
2007,"MADHYA PRADESH","RAISEN",807.9
2008,"MADHYA PRADESH","RAISEN",925.3
2009,"MADHYA PRADESH","RAISEN",984.5
2012,"MADHYA PRADESH","RAISEN",1053.1
2013,"MADHYA PRADESH","RAISEN",1601.4
2014,"MADHYA PRADESH","RAISEN",1036.8
2015,"MADHYA PRADESH","RAISEN",1206
2000,"MADHYA PRADESH","VIDISHA",1130.4
2001,"MADHYA PRADESH","VIDISHA",1028.3
2002,"MADHYA PRADESH","VIDISHA",855.7
2003,"MADHYA PRADESH","VIDISHA",1144.8
2004,"MADHYA PRADESH","VIDISHA",935.6
2005,"MADHYA PRADESH","VIDISHA",1059.3
